Order Number,Order Charged Date,Order Charged Timestamp,Financial Status,Device Model,Product Title,Product ID,Product Type,SKU ID,Currency of Sale,Item Price,Taxes Collected,Charged Amount,City of Buyer,State of Buyer,Postal Code of Buyer,Country of Buyer,Base Plan ID,Offer ID
GPA.3356-2252-3920-33305,2021-10-18,1634550579,Charged,m52xq,All Document - No ads forever (Documents App: Word Document),com.officesuite.fileopener.fileviewer.all.document.reader.word.excel.pptx.pdf,inapp,iapforever,INR,423.73,76.27,500.00,Madurai,Tamil Nadu,625003,IN,,
GPA.3311-9900-5640-28328,2021-10-18,1634552859,Charged,OP4883,remove ads sale (Scanner App - PDF Scanner Apps),com.scannerapp.pdfscanner.documentscaner.docscannerappforandroid,inapp,removeadsale,PKR,950.00,0.00,950.00,Karachi,,,PK,,
GPA.3348-2419-8894-39070,2021-10-18,1634554755,Charged,Nord,remove ads sale (Scanner App - PDF Scanner Apps),com.scannerapp.pdfscanner.documentscaner.docscannerappforandroid,inapp,removeadsale,INR,466.10,83.90,550.00,Gannavaram,Andhra Pradesh,521286,IN,,
GPA.3323-4062-8093-49064,2021-10-18,1634555107,Charged,gta4xlwifi,remove ads sale (Scanner App - PDF Scanner Apps),com.scannerapp.pdfscanner.documentscaner.docscannerappforandroid,inapp,removeadsale,USD,5.99,0.58,6.57,Gray,LA,70359,US,,
GPA.3322-2822-4103-64167,2021-10-18,1634557724,Charged,t2s,Remove all anoying ads (Notes - Notepad - Notes App for Android),owl.notes.notepad.notesappforandroid.notepadappforandroidfree,inapp,iapremoveadssale,KRW,"3,455.00",345.00,"3,800.00",광명시,경기도,423-812,KR,,
GPA.3393-6082-1291-11938,2021-10-18,1634560604,Charged,QDA,remove ads sale (Scanner App - PDF Scanner Apps),com.scannerapp.pdfscanner.documentscaner.docscannerappforandroid,inapp,removeadsale,JPY,680.00,0.00,680.00,今治市,愛媛県,7991533,JP,,
GPA.3311-9021-1522-89020,2021-10-18,1634561301,Charged,OP4F39L1,All Document - No ads forever (Documents App: Word Document),com.officesuite.fileopener.fileviewer.all.document.reader.word.excel.pptx.pdf,inapp,iapforever,EUR,4.95,1.04,5.99,,,,BE,,
GPA.3315-2716-4013-12607,2021-10-18,1634563937,Charged,p3q,remove ads sale (Scanner App - PDF Scanner Apps),com.scannerapp.pdfscanner.documentscaner.docscannerappforandroid,inapp,removeadsale,USD,5.99,0.52,6.51,FARMINGDALE,NY,11735,US,,
GPA.3376-7332-8389-08715,2021-10-18,1634565746,Refund,a10,removeads (Compass :Pro Compass - Easy Compass),com.compass.compassapp.compassfree,inapp,removeads,INR,220.34,-39.66,-260.00,Hyferabad,Telangana,500028,IN,,
GPA.3314-6181-4501-94601,2021-10-18,1634567297,Charged,HWMAR,All Document - No ads forever (Documents App: Word Document),com.officesuite.fileopener.fileviewer.all.document.reader.word.excel.pptx.pdf,inapp,iapforever,CAD,6.99,1.05,8.04,Dolbeau-Mistassini,QC,G8L 2L6,CA,,
GPA.3367-8921-6997-56356,2021-10-18,1634568536,Charged,odessa,Remove all ads (PDF Converter: Photo To PDF - PDF Maker),com.pdfconverter.imagetopdf.jpgtopdf.pdfconverterforandroid,inapp,removeads,MXN,56.03,8.97,65.00,,,54710,MX,,
GPA.3346-2849-8826-20850,2021-10-18,1634569927,Charged,crownlte,remove all ads forever (PDF Reader - PDF Viewer For Android),com.pdfreader.pdfeditor.pdfreadeforandroid.pdfeditorforandroidfree,inapp,removeads,USD,6.66,0.33,6.99,,,,BH,,
